item,slift,complementizer,main.subject,embedded.subject,main.object1,main.object2,main.prep,embedded.tense,main.passive
66,TRUE,NONE,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
67,TRUE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
68,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
69,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
70,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
71,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
72,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
73,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
74,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
75,FALSE,NONE,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
76,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
77,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
78,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
79,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
80,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
81,FALSE,WHQ,REFERENTIAL,NOM,TRUE,NONE,FALSE,TENSED,FALSE
82,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
83,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
84,FALSE,WHQ,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
85,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
86,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
87,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
88,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
89,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
90,FALSE,WHQ,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
91,FALSE,WHQ,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
92,TRUE,NONE,NONE,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
93,FALSE,WHQ,NONE,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
94,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
95,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
96,FALSE,NONE,NONE,NOM,NONE,NONE,FALSE,TENSED,FALSE
97,FALSE,NONE,NONE,NOM,NONE,NONE,FALSE,TENSED,FALSE
98,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
99,FALSE,WHQ,NONE,NOM,NONE,NONE,FALSE,TENSED,FALSE
100,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
101,FALSE,WHQ,REFERENTIAL,NOM,TRUE,NONE,FALSE,TENSED,FALSE
102,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
103,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
